Ticker,Company,Sector,Address,Tel,Website,IdCompany,Group Sector
AAA,Công ty cổ phần Nhựa An Phát Xanh,Nguyên vật liệu,"Lô CN 11 + CN 12 Cụm Công nghiệp An Đồng, Thị trấn Nam Sách, Huyện Nam Sách, Tỉnh Hải Dương, Việt Nam",+84 220 3755998,www.anphatbioplastic.com,0800373586,Nguyên vật liệu
AAM,Công ty Cổ phần Thủy sản Mekong,"Thực phẩm, đồ uống và thuốc lá","Lô 24, Khu Công nghiệp Trà nóc, Phường Trà Nóc, Quận Bình Thủy, Thành phố Cần Thơ, Việt Nam",(+84) 29238415,http://www.mekongfish.vn/,1800448811,Hàng tiêu dùng thiết yếu
AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,Đồ tiêu dùng và trang trí,"Số 09 khu công nghiệp Bắc Sơn Bỉm Sơn, Phường Bắc Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa, Việt Nam",+84 220 3755998,www.tiensonaus.com,2800222245,Hàng tiêu dùng không thiết yếu
ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Các dịch vụ chuyên biệt và thương mại,"CR3 - 16G, Lầu 2, 109 Tôn Dật Tiên, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",+84 28 54138366,www.vbinvest.com.vn,0312080709,Công nghiệp
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hàng hóa chủ chốt,"Số 03 Nguyễn Du, Phường Đức Thắng, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",(+84) 28393007,www.bitagco.com,3400382278,Công nghiệp
ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,"Thực phẩm, đồ uống và thuốc lá","Ấp 9, Xã Tân Thạch, Huyện Châu Thành, Tỉnh Tây Ninh, Việt Nam",(+84) 27538602,www.aquatexbentre.com,1300376365,Hàng tiêu dùng thiết yếu
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,"442 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",+84 28 39290999,www.acb.com.vn,0301452948,Tài chính
ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,Nguyên vật liệu,"Đường N7, Khu Công nghiệp Mỹ Phước, Phường Mỹ Phước, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",+84 650 3567200,www.becamexacc.com.vn,3700926112,Nguyên vật liệu
ACG,Công ty Cổ phần Gỗ An Cường,Nguyên vật liệu,,,,,Nguyên vật liệu
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,"Thực phẩm, đồ uống và thuốc lá","90 Hùng Vương, Khóm Mỹ Thọ, P Mỹ Quý, Thành phố Long Xuyên, Tỉnh An Giang, Việt Nam",+84 296 3931000,www.clfish.com,1600680398,Hàng tiêu dùng thiết yếu
ADG,Công ty Cổ phần Clever Group,Truyền thông và Giải trí,"Số 26, Ngõ 80, Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",(+84) 24730460,https://clevergroup.vn/,0102850165,Viễn thông
ADS,Công ty Cổ phần Damsan,Đồ tiêu dùng và trang trí,"Lô A4 Bùi Viện, Khu Công nghiệp Nguyễn Đức Cảnh, Phường Trần Hưng Đạo, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",+84 227 3643998,www.damsanjsc.vn,1000389853,Hàng tiêu dùng không thiết yếu
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Quản lý & Phát triển Bất động sản,"30 Nguyễn Thị Diệu, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",+84 251 6280299,www.angia.com.vn,0311500196,Bất động sản
AGM,Công ty Cổ phần xuất nhập khẩu An Giang,"Thực phẩm, đồ uống và thuốc lá","Số 01 Ngô Gia Tự, Phường Mỹ Long, Thành phố Long Xuyên, Tỉnh An Giang, Việt Nam",+84 296 3842625,www.angimex.com.vn,1600230737,Hàng tiêu dùng thiết yếu
AGR,Công ty Cổ phần Chứng khoán Agribank,Dịch vụ tài chính,"Tầng 5, Tòa nhà Artex, Số 172 Ngọc Khánh, Phường Giảng Võ, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",+84 24 62762666,www.agriseco.com.vn,0101150107,Tài chính
AMD,Công ty cổ phần đầu tư và khoáng sản FLC Stone,Hàng hóa chủ chốt,"Tầng 5, Tòa nhà FLC Landmark Tower, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",+84 24 32929222,www.flcstone.vn,0102370070,Công nghiệp
ANV,Công ty Cổ phần Nam Việt,"Thực phẩm, đồ uống và thuốc lá","Số 19D Trần Hưng Đạo, Phường Mỹ Quý, Thành phố Long Xuyên, Tỉnh An Giang, Việt Nam",+84 296 3834060,www.navicorp.com.vn,1600168736,Hàng tiêu dùng thiết yếu
APC,Công ty Cổ phần Chiếu xạ An Phú,Các dịch vụ chuyên biệt và thương mại,"Số 119A/2, Tổ 4, Khu phố 1B, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",+84 650 3713116,www.apic.com.vn,3700480244,Công nghiệp
APG,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính,"Tầng 5, Tòa nhà Grand Building Số 32 Hòa Mã, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",+84 24 39410277,www.apsi.vn,0102525951,Tài chính
APH,Công ty cổ phần Tập đoàn An Phát Holdings,Nguyên vật liệu,"Tầng 17, Tòa nhà PV Oil, 148 Hoàng Quốc Việt, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",+84 650 3713116,www.anphatholdings.com,0801210129,Nguyên vật liệu
ASG,Cổ phiếu Công ty Cổ phần Tập đoàn ASG,Vận tải,"Khu dịch vụ Logistics, Cảng HKQT Nội Bài, Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",+84 24 37616688,www.asg.net.vn,0104960269,Công nghiệp
ASM,Công ty Cổ phần Tập đoàn Sao Mai ,Quản lý & Phát triển Bất động sản,"326 Hùng Vương, Phường Mỹ Long, Thành phố Long Xuyên, Tỉnh An Giang, Việt Nam",+84 296 3840138,www.saomaiag.vn,1600169024,Bất động sản
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Năng lượng,"D1-14 Khu phố Mỹ Giang 2, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",+84 28 54136338,www.anphapetrol.com,0303224471,Năng lượng
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Dịch vụ tiêu dùng,"Tầng 1, Tòa nhà N02-T1, Khu đoàn ngoại giao, Phố Đỗ Nhuận, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",+84 24 35876683,www.tasecoairs.vn,0107007230,Hàng tiêu dùng không thiết yếu
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,"Thực phẩm, đồ uống và thuốc lá",,,,,Hàng tiêu dùng thiết yếu
BBC,Công ty Cổ phần Bibica,"Thực phẩm, đồ uống và thuốc lá","443 Lý Thường Kiệt, Phường 8, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",+84 28 39717920,www.bibica.com.vn,3600363970,Hàng tiêu dùng thiết yếu
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Hàng hóa chủ chốt,"Lô G, Đường Đồng Khởi, Phường Hòa Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",(+84) 65022208,www.becamexbce.com.vn,3700408992,Công nghiệp
BCG,Công ty Cổ phần Bamboo Capital,Hàng hóa chủ chốt,"Lầu 14, Tòa nhà Vincom Center, 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",(+84) 28626806,www.bamboocap.com.vn,0311315789,Công nghiệp
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Quản lý & Phát triển Bất động sản,"Số 230 Đại lộ Bình Dương, Phường Phú Hòa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",+84 274 3822655,www.becamex.com.vn,3700145020,Bất động sản
BFC,Công ty Cổ phần Phân bón Bình Điền ,Nguyên vật liệu,"C12/21 Quốc Lộ 1A, xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",+84 28 7560110,www.binhdien.com,0302975517,Nguyên vật liệu
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,"Thực phẩm, đồ uống và thuốc lá","Số 183 Phố Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",+84 24 38453843,www.habeco.com.vn,0101376672,Hàng tiêu dùng thiết yếu
BIC,Tổng Công ty Cổ phần Bảo Hiểm Ngân hàng Đầu tư và Phát triển Việt Nam ,Bảo hiểm,"Tầng 16, Tháp A, Tòa nhà Vincom, Số 191 Bà Triệu, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",+84 24 22200282,www.bic.vn,0100931299,Tài chính
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,Ngân hàng,"Tháp BIDV, Số 35 Hàng Vôi, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",+84 24 22205544,www.bidv.com.vn,0100150619,Tài chính
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng hóa chủ chốt,"Tầng 4, Tòa nhà HPC Landmark 105, Đường Tố Hữu, KĐT Văn Khê, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",+84 24 22832468,www.bkgvietnam.com,0106935814,Công nghiệp
BMC,Công ty Cổ phần Khoáng sản Bình Định,Nguyên vật liệu,"11 Hà Huy Tập, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",+84 256 3822073,www.bimico.vn,4100390008,Nguyên vật liệu
BMI,Tổng Công ty Cổ phần Bảo Minh ,Bảo hiểm,"Số 26 Tôn Thất Đạm, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 28 38294180,www.baominh.com.vn,0300446973,Tài chính
BMP,Công ty Cổ phần nhựa Bình Minh,Hàng hóa chủ chốt,"240 Hậu Giang, Phường 9, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",+84 28 39690973,www.binhminhplastic.com,0301464823,Công nghiệp
BRC,Công ty Cổ phần Cao su Bến Thành ,Hàng hóa chủ chốt,"Lô B 3-1 Khu Công nghiệp Tây Bắc Củ Chi, Đường Giáp Hải (D3), Xã Trung Lập Hạ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",+84 28 37907619,www.berubco.com.vn,0301150295,Công nghiệp
BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,Dịch vụ tài chính,"Tầng 10-11, Tòa Tháp BIDV, 35 Hàng Vôi, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",+84 28 38218886,www.bsc.com.vn,0101003060,Tài chính
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,Dịch vụ tiện ích,"Khu phố Hương Giang, Phường Long Hương, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",+84 254 2212811,www.btp.com.vn,3500701305,Dịch vụ tiện ích
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Hàng hóa chủ chốt,"Số 2-4 Đường Lưu Văn Lang, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 28 38223390,www.benthanhtsc.com,0301164065,Công nghiệp
BVH,Tập đoàn Bảo Việt ,Bảo hiểm,"Số 8  Lê Thái Tổ, Phường Hàng Trống, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",+84 24 39289999,www.baoviet.com.vn,0100111761,Tài chính
BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Dịch vụ tiện ích,"Số 11 Đường Ngô Văn Trị, Phường Phú Lợi, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",+84 650 3838333,www.biwase.com.vn,3700145694,Dịch vụ tiện ích
C32,Công ty cổ phần CIC39,Hàng hóa chủ chốt,"45A Nguyễn Văn Tiết, Phường Lái Liêu, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",+84 650 3759446,www.cic39.vn,3700146225,Công nghiệp
C47,Công ty Cổ phần Xây dựng 47,Hàng hóa chủ chốt,"Số 8, Đường Biên Cương, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",(+84) 25635221,www.xaydung47.vn,4100258747,Công nghiệp
CAV,Công ty Cổ phần dây cáp điện Việt Nam ,Hàng hóa chủ chốt,"70-72 Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 28 38299443,www.cadivi-vn.com,0300381564,Công nghiệp
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp - Thương mại Củ Chi,Hàng hóa chủ chốt,"Ấp Bàu Tre 2, Xã Tân An Hội, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",+84 28 38921737,www.cidico.com.vn,0302704764,Công nghiệp
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Quản lý & Phát triển Bất động sản,"Số 02 Lô KTM 06, đường số 6, Khu đô thị 5A, Phường 4, Thành phố Sóc Trăng, Tỉnh Sóc Trăng, Việt Nam",+84 299 3627999,www.pvcl.com.vn,2200280598,Bất động sản
CDC,Công ty Cổ phần Chương Dương,Hàng hóa chủ chốt,"328 Đại lộ Võ Văn Kiệt, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 28 38367734,www.acic.com.vn,0303146167,Công nghiệp
CHP,Công ty Cổ phần Thủy điện miền Trung,Dịch vụ tiện ích,"Lô 57B, đường số 6, Khu công nghiệp Đà Nẵng, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",+84 236 3959110,www.chp.vn,0400477830,Dịch vụ tiện ích
CIG,Công ty Cổ phần COMA18,Quản lý & Phát triển Bất động sản,"Số 135 Trần Phú, Phường Văn Quán, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",+84 24 33545608,www.coma18.vn,0500236860,Bất động sản
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật T.P Hồ Chí Minh,Vận tải,"03A Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 28 36221025,www.cii.com.vn,0302483177,Công nghiệp
CKG,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư & Xây dựng Kiên Giang,Quản lý & Phát triển Bất động sản,"Số 34 Đường Trần Phú, Phường Vĩnh Thanh, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",+84 297 3874660,www.cickg.com,1700113586,Bất động sản
CLC,Công ty Cổ phần Cát Lợi,"Thực phẩm, đồ uống và thuốc lá","934D2, Đường D, KCN Cát Lái, Phường Thạnh Mỹ Hợi, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",(+84) 28374211,www.catloi.com.vn,5800902623,Hàng tiêu dùng thiết yếu
CLL,Công ty Cổ phần Cảng Cát Lái,Vận tải,"Đường Nguyễn Thị Định, phường Cát Lái, Thành phố Thủ đức, Thành phố Hồ Chí Minh, Việt Nam",(+84) 28374234,www.catlaiport.com.vn,0305168938,Công nghiệp
CLW,Công ty Cổ phần Cấp nước Chợ Lớn ,Dịch vụ tiện ích,"Số 97 Phạm Hữu Chí, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",+84 28 39144290,www.capnuoccholon.com.vn,0304797806,Dịch vụ tiện ích
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Phần mềm và dịch vụ,"CMC Tower, Số 11 Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",+84 24 37958668,www.cmc.com.vn,0100244112,Công nghệ thông tin
CMV,Công ty Cổ phần Thương Nghiệp Cà Mau,Phân phối & Bán lẻ hàng tiêu dùng,"70-72 Đề Thám, Phường 2, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam",(+84) 29038392,www.tncm.com.vn,2000110221,Hàng tiêu dùng thiết yếu
CMX,Công ty cổ phần Camimex Group,"Thực phẩm, đồ uống và thuốc lá","Số 333 Đường Cao Thắng, Phường 8, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam",+84 290 3831608,www.camimex.com.vn,2000103908,Hàng tiêu dùng thiết yếu
CNG,Công ty Cổ phần CNG Việt Nam,Năng lượng,"Đường số 15, Khu công nghiệp Phú Mỹ I, Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",+84 254 3574618,www.cng-vietnam.com,3500800828,Năng lượng
COM,Công ty Cổ phần Vật Tư - Xăng Dầu,Phân phối & Bán lẻ hàng tiêu dùng,"Số 11 Cao Bá Nhạ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 28 38321111,www.comeco.vn,0300450673,Hàng tiêu dùng thiết yếu
CRC,Công ty Cổ phần Create Capital Việt Nam,Nguyên vật liệu,"Số 104/140 Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",+84 24 62925566,www.createcapital.vn,0105087537,Nguyên vật liệu
CRE,Công ty Cổ phần Bất động sản Thế kỷ,Quản lý & Phát triển Bất động sản,"Tầng 1, Tòa B Sky City, Số 88 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",+84 24 62636688,www.cenland.vn,0101160306,Bất động sản
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Ô tô và linh kiện,"180 Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",+84 28 39303122,www.casumina.com,0300419930,Hàng tiêu dùng không thiết yếu
CSV,Công ty Cổ phần hóa chất cơ bản Miền Nam ,Nguyên vật liệu,"22 Lý Tự Trọng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 28 38296620,www.sochemvn.com,0301446260,Nguyên vật liệu
CTD,Công ty Cổ phần Xây dựng Coteccons,Hàng hóa chủ chốt,"236/6 Điện Biên Phủ, Phường 17, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",+84 28 35142266,www.coteccons.vn,0303443233,Công nghiệp
CTF,Công ty Cổ phần City Auto,Phân phối & Bán lẻ hàng tiêu dùng,"Số 218 Quốc lộ 13, phường Hiệp Bình Chánh, Thành phố Thủ đức, Thành phố Hồ Chí Minh, Việt Nam",(+84) 28372626,www.cityford.com.vn,0307979603,Hàng tiêu dùng thiết yếu
CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Ngân hàng,"Số 108 Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",+84 24 39421030,www.vietinbank.vn,0100111948,Tài chính
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Nguyên vật liệu,"Số 168 Khu phố 11, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",+84 251 6291081,www.cuongthuan.vn,3600459834,Nguyên vật liệu
CTR,Tổng công ty cổ phần công trình Viettel,Hàng hóa chủ chốt,"Số 1 Giang Văn Minh, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",+84 24 62661225,www.congtrinhviettel.com.vn,0104753865,Công nghiệp
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Dịch vụ tài chính,"Số 306 Bà Triệu, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",+84 24 39741865,www.cts.vn,0101078450,Tài chính
CVT,Công ty Cổ phần CMC,Nguyên vật liệu,"Lô B10-B11 Khu Công nghiệp Thụy Vân, Xã Thụy Vân, Thành phố Việt Trì, Tỉnh Phú Thọ, Việt Nam",+84 210 3846619,www.cmctile.com.vn,2600106523,Nguyên vật liệu
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2 ,Quản lý & Phát triển Bất động sản,"H22, đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam",+84 251 3817742,www.d2d.com.vn,3600259560,Bất động sản
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,Hàng hóa chủ chốt,"Lô 1-CN5 -Cụm Công nghiệp Ngọc Hổi, Xã Ngọc Hồi, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam",+84 24 37342888,www.dag.com.vn,0101099228,Công nghiệp
DAH,Công ty cổ phần Tập đoàn Khách sạn Đông Á,Dịch vụ tiêu dùng,"Phòng C301 tầng 3, tòa nhà Trung tâm Thương mại Đông Á, Số 668 đường Phan Đình Phùng, tổ 11, phường Đồng Quang, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",+84 208 3651967,www.dongahotelgroup.com,4600349907,Hàng tiêu dùng không thiết yếu
DAT,Công ty cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,"Thực phẩm, đồ uống và thuốc lá","Quốc lộ 80, Cụm công nghiệp Vàm Cống, xã Bình Thành, Huyện Lấp Vò, Tỉnh Đồng Tháp, Việt Nam",+84 277 3680657,www.trisedco.vn,1600895650,Hàng tiêu dùng thiết yếu
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,"Thực phẩm, đồ uống và thuốc lá","Số 35 Đường Lý Thái Tổ, Phường Võ Cường, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",+84 222 3895111,www.dabaco.com.vn,2300105790,Hàng tiêu dùng thiết yếu
DBD,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định,"Dược phẩm, Công nghệ sinh học","498 Nguyễn Thái Học, Phường Quang Trung, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",+84 256 3846500,www.bidiphar.com,4100259564,Chăm sóc sức khỏe
